Artikelnummer;Artikelname
A09035;(X)Einschlagpapier (1/4) rosa - 12,5kg
A09030;Pommesspitztüten (250g) 23cm - 1000Stk.
A09036;Einschlagpapier (30x40cm) - 10kg
A09029;Pommesspitztüten (200g) 21cm - 1000Stk.
A09084;Snackbeutel braun ohne Druck (15x16cm) - 1000Stk.
A09085;Hot-Dog-Beutel braun ohne Druck (9x21cm) - 1000Stk.
A09028;Pommesspitztüten (100g) 17cm - 1000Stk.
A08315;Buttertöpfchen mit Deckel (30ml) - 20x50Stk.
A08905;"Lasagne-Tray ""190x125x45mm"" - 200Stk."
A09053;Warmhaltebeutel Fischbeutel (130x80x280mm) - 100Stk.
A07550;Folien Gerät Metall 45cm
A08403;Holzlöffel - 100Stk.
A08405;Holzmesser - 100Stk.
A05009;Palmetta Pflanzenfett Block - 10kg
A05010;Palmetta Pflanzenfett Stangen - 4x2,5kg
A05004;Sonya Pflanzenmargarine - 2,5kg
A03023;Optima Trennspray - 500ml
A05000;Flürin Frittierfett halblüssig - 10L
A06407;Skipjack Thunfischstücke in Öl - 1,4kg
A06408;Skipjack Thunfischstücke in Öl - 3kg
A06273;Frisch Knoblauchpaste - 1kg
A05924;Dembra Oregano gerebelt - 1kg
A04222;Serrano-Schinken in Scheiben geschnitten - 500g
A05707;Löwensenf Extra - 5kg
A05709;Löwensenf Medium - 5kg
A06016;Ubena Kardamom ganz in Schale - 165g
A06017;Ubena Muskatnüsse ganz - 250g
A06018;(X)Ubena Paprika geräuchert - 240g
A01417;Pet Christinen Wasser spritzig - 24x0,5L
A01114;Glas Christinen Multivitaminsaft - 24x0,33L
A01415;Pet Christinen Multivitamin - 24x0,5L
A08211;Einweg-Schnapsglas 0,02L Glasklar - 50Stk.
A02471;Chantre Weinbrand 36%vol. - 0,7L
A02345;Mariacron Weinbrand 36%vol. - 0,7L
A01241;(X)Glas Granini Cocktail Basic Lime Juice - 6x1L
A01160;Glas Granini Cranberrysaft - 6x1L
A01164;Glas Granini Rhabarber-Nektar - 6x1L
A04814;Bärenmarke Kaffeesahne 8% - 170g
A10763;TK B.T. Garnelen 4-6 m. Kopf m. Schale - 1kg
A10771;TK Sardinen ganz 10-20 - 1kg
A03009;Frischli Tiramisu Creme - 1L
A04827;Frischli Cappuccino-Milch 2,5% - 1L
A04825;Frischli Creme Sauerrahm 24% - 1kg
A04804;Frischli Küchensahne 20% - 1L
A04826;Frischli Kondensmilch 7,5% - 1kg
A03010;Frischli Vanillasoße aus Sahne - 1L
A02494;Schladerer Himbeergeist 42%vol. - 0,7L
A02404;Schladerer Schwarzwälder Kirschwasser 42%vol. - 0,7L
A02403;Schladerer Mirabell Obstbrand 42%vol. - 0,7L
A02405;Schladerer Zwetschgenwasser 42%vol. - 0,7L
A04689; Frischkäsezubereitung Doppelrahmstufe – 2,5 kg
A01255;Glas Granini Schorle Apfel trüb - 24x0,33L
A01258;Glas Granini Schorle Rhabarber naturtrüb - 24x0,33L
A01257;Glas Granini Schorle Maracuja - 24x0,33L
A01256;Glas Granini Schorle Kirsche - 24x0,33L
A01261;(X)Glas Granini Die Limo Pink Grapefruit-Cranberry - 24x0,33L
A01251;Glas Granini Maracuja - 24x0,2L
A01248;Glas Granini Erdbeer - 24x0,2L
A01242;Glas Granini Mangosaft - 6x1L
A01254;Glas Granini Pfirsich - 24x0,2L
A01157;Glas Granini Ananassaft - 6x1L
A01252;Glas Granini Multivitamin - 24x0,2L
A01243;Glas Granini Orangennektar 50% - 6x1L
A10857;TK Alaska Seelachsfilet natur (120-170g) - 1kg
A01610;Tetra Durstlöscher Bubble Gum - 12x0,5L
A01618;Tetra Durstlöscher Multivitamin - 12x0,5L
A01619;Tetra Durstlöscher Orange - 12x0,5L
A01620;Tetra Durstlöscher Sauerkirsch-Zitrone - 12x0,5L
A01609;(X) Tetra Durstlöscher Blaubeer-Vanille - 12x0,5L
A01608;Tetra Durstlöscher Apfel-Orange-Zitrone - 12x0,5L
A01617;Tetra Durstlöscher Kiba Kirsch-Banane - 12x0,5L
A01621;Tetra Durstlöscher Waldmeister - 12x0,5L
A01615;Tetra Durstlöscher Granatapfel-Zitrone - 12x0,5L
A01613;Tetra Durstlöscher Eistee Zitrone - 12x0,5L
A01612;Tetra Durstlöscher Eistee Pfirsich - 12x0,5L
A01622;Tetra Durstlöscher Wassermelone - 12x0,5L
A01051;Dose Moloko Zero Citrus + Elderflower - 24x0,25L
A01050;Dose Moloko Blueberry + Acai - 24x0,25L
A01052;Dose Moloko Mango + Calamansi - 24x0,25L
A03700;Krüger Kaffeeweißer - 1kg
A02074;Glas Schöfferhofer Hefeweizen - 20x0,5L
A02026;Glas Brinkhoff's alkoholfrei - 24x0,33L
A02029;Glas Brinkhoff's No°1 Radler - 24x0,33L
A02075;Glas Schöfferhofer Hefeweizen alkoholfrei - 20x0,5L
A02073;Glas Schöfferhofer Grapefruit - 24x0,33L
A10003;TK Dönerbrot lang&oval - 5Stk.
A05899;Koch's Tafelmeerrettich scharf - 680ml
A05902;Koch's Sahnemeerrettich mild - 680ml
A02475;Finsbury Gin 37,5%vol. - 0,7L
A02250;Cassissée Creme De Cassis De Dijon 16%vol. - 0,7L
A02377;Papidoux Fine Calvados 40%vol. - 0,7L
A02406;Sierra Tequila Blanco 35%vol. - 1L
A02244;Cana Rio Cachaca 40%vol. - 1L
A02371;Old Pascas Jamaica Dark Rum 73%vol. - 0,7L
A02408;Sierra Tequila Silver 38%vol. - 0,7L
A02407;Sierra Tequila Gold 38%vol. - 0,7L
A02316;Jägermeister Kräuterlikör 35%vol. - 0,7L
A08712;Müllbeutel - 20x60L
A09753;Reinex Spülmittel Markenqualität - 1L
A09740;Reinex Allzweckreiniger - 10L
A09752;Reinex Scheuermilch Citro - 500ml
A09754;Reinex Spülmittel R3 - 10L
A09751;Reinex Klarspüler für Spülmaschine R13 - 10L
A09756;Reinex WC-Reiniger Gel Citro - 750ml
A09744;Reinex Fettlöser mit Sprühpistole - 750ml
A09747;Reinex Glasreiniger - 1L
A09749;Reinex Grill-&Backofenreiniger - 500ml
A09755;Reinex Urinsteinlöser - 1L
A09757;Reinex WC-Reiniger Gel Ocean - 750ml
A09741;Reinex Bodenglanzpflege - 1L
A09745;Reinex Fettlöser R7 hochalkalisch - 10L
A09704;Cremeseife für Spender - 10L
A09746;Reinex Glasreiniger - 10L
A09739;Reinex Alkoholreiniger - 10L
A09750;Reinex Grundreiniger - 10L
A09703;Reinex Bodenglanzpflege - 10L
A09743;Reinex Essigreiniger - 10L
A09737;Regina Cremeseife Pfirsich - 500ml
A09734;Regina Cremeseife Beauty Flower - 500ml
A09736;Regina Cremeseife Honig Milch - 500ml
A09735;Regina Cremeseife Grüne Frische - 500ml
A09748;Reinex Grill-& Backofenreiniger - 10L
A09758;Spezial-Salz für Spülmaschinen - 2kg
A09742;Reinex Edelstahlreiniger - 250ml
A08713;Müllbeutel - 30x20L
A08719;Gefrierbeutel 3L - 30Stk.
A08720;Gefrierbeutel 6L - 20Stk.
A08718;Gartenabfallsack blau - 10x130L
A08717;Containersäcke - 5x240L
A08711;Bio-Müllbeutel Papier - 5x10L
A03608;Toastbrot - 500g
A02040;Glas Franziskaner Weißbier Hefeweizen - 20x0,5L
A02027;Glas Brinkhoffs No°1 - 20x0,5L
A02028;Glas Brinkhoff's No°1 - 24x0,33L
A05717;Culinaria Dijon Senf extra fein - 1kg
A05035;Culinaria Himbeeressig - 1L
A06634;Kühne Essig-Essenz - 400ml
A06650;Kühne Karottensalat - 2650ml
A06648;Kühne Selleriestreifen - 2650ml
A06649;Kühne Puszta-Salat - 2650ml
A06646;Kühne Rote Bete in Scheiben - 2650ml
A06651;Kühne Kürbis in Stückchen - 2650ml
A06647;Kühne Paprika in Streifen - 2650ml
A06645;Kühne Mixed Pickles - 2650ml
A06642;Kühne Schlesische Gurkenhappen mild-würzig - 2650ml
A06446;Kühne Dillschnitten Gurken - 2650ml
A06445;Kühne Cornichons Gurken - 2650ml
A06641;Kühne Gewürzgurken knackig-würzig - 2650ml
A06447;Kühne Silberzwiebeln - 2650ml
A01168;Glas Mezzo Mix - 24x0,33L
A01308;Haydi Ayran frisch - 20x250ml
A04513;Haydi Naturjoghurt Spezial 3,8% - 10kg
A01623;Tetra Wesergold Apfelsaft klar - 1L
A01624;Tetra Wesergold Orangensaft - 1L
A01633;Tetra Wesergold Ananassaft - 1L
A01634;Tetra Wesergold Tomatensaft - 1L
A01632;Tetra Wesergold Multivitamin Nektar - 1L
A02022;Glas Beck's Pils - 24x0,33L
A02021;Glas Beck's Pils - 20x0,5L
A03105;Valenzi Wildpreiselbeeren - 2kg
A01461;Pet Vio Still - 18x0,5L
A01404;Pet Ardey Classic - 12x1L
A01405;Pet Ardey Exquist medium - 12x1L
A01152;Glas Afri Cola - 24x0,33L
A01155;Glas Bluna Orange - 24x0,33L
A01156;Glas Bluna Zitrone - 24x0,33L
A02237;"Birkenhof Feine Spirituosen ""Alte Williams-Birne"" 40%vol. - 1L"
A02236;"Birkenhof Feine Spirituosen ""Alte Quetsch"" 40%vol. - 1L"
A02235;"Birkenhof Feine Spirituosen ""Alte Kirsche"" 40%vol. - 1L"
A02234;"Birkenhof Feine Spirituosen ""Alte Himbeere"" 40%vol. - 1L"
A02231;"Birkenhof ""Alte Marille"" 40%vol. - 1L"
A02238;Birkenhof Feine Spirituosen Haselnuss 32%vol. - 1L
A02056;Glas Kronen Pils - 20x0,5L
A02057;Glas Kronen Pils - 24x0,33L
A01305;Wesergold Zitronensaft - 0,75L
A02063;Glas Moritz Fiege Pils Bügel - 20x0,5L
A02064;Glas Moritz Fiege Radler Bügel - 20x0,5L
A01125;Glas Coronet Wasser - 12x0,7L
A01167;Glas Mezzo Mix - 24x0,2L
A01230;Glas Acqua Morelli Sparkling - 24x0,25L
A01231;Glas Acqua Morelli Non-Sparkling - 24x0,25L
A01116;Glas Coca-Cola - 20x0,4L
A01122;Glas Coca-Cola Zero - 20x0,4L
A01132;Glas Fanta Orange - 20x0,4L
A01183;Glas Sprite - 20x0,4L
A01166;Glas Mezzo Mix - 20x0,4L
A01127;Glas Elephant Bay Ice Tea Lemon - 20x0,33L
A01130;Glas Elephant Bay Ice Tea Peach - 20x0,33L
A01200;Glas Elephant Bay Ice Tea Pomegranate - 20x0,33L
A01126;Glas Elephant Bay Ice Tea Blueberry - 20x0,33L
A01201;Glas Elephant Bay Ice Tea Watermelon - 20x0,33L
A01128;Glas Elephant Bay Ice Tea Mango - 20x0,33L
A01262;Glas Elephant Bay Ice Tea Peach Zero - 20x0,33L
A01129;Glas Elephant Bay Ice Tea Passionfruit - 20x0,33L
A01154;Glas Afri Cola Mix - 24x0,33L
A01477;Pet Filiz Quellwasser Naturell - 24x0,5L
A09761;Topfreiniger Schwamm eckig (2,6x9cm) - 6Stk.
A09726;Jumboschwamm eckig (4,1x14,8x8,5cm) - 3Stk.
A09762;Topfreiniger Schwamm eckig gelb (9,5x6,8cm) - 6Stk.
A10913;(X)TK Wildlachsfilet 140-160g - 1kg
A11426;TK Sommerland Vanille - 5L
A11427;TK Sommerland Schoko - 5L
A11428;TK Sommerland Erdbeer - 5L
A11429;TK Sommerland Stracciatella - 5L
A11435;TK Sommerland Kokosnuss - 5L
A11430;TK Sommerland Zitrone - 5L
A11425;TK Sommerland Walnuss Caddy - 5L
A03012;Hefewürfel frisch - 24x42g
A08724;Baretthauben aus Vlies weiß Ø52cm - 100Stk.
A08612;Latz-Schürzen LDPE (130x75cm) - 50Stk.
A10868;TK Zanderfilet mit Haut (230-300g) - 5kg
A10869;TK Zanderfilet mit Haut (300-500g) - 5kg
A10815;TK Argentinische Rotgarnelen 10-20 o. Kopf o. Schale - 1kg
A10816;TK Argentinische Rotgarnelen 26-30 o. Kopf o. Schale - 1kg
A10812;TK Dorade Royal ganz (300-400g) - 1kg
A10865;TK Wolfsbarsch ganz (300-400g) - 1kg
A10856;TK Schollendoppelfilet natur (140-160g) - 1kg
A04205;Öz Kayseri Rinderschinken/Pastirma - 200g
A04008;Kutteln/Iskembe Küchenfertig - 3kg
A04014;Rinderzunge (Dana Dil) - 500g
A02880;KULT Cuvée rose&feinherb 11,5%%vol. (DE) - 1L
A02879;KULT Cuvée rot&feinherb 11,5%vol. (DE) - 1L
A02876;Mollliter Dornfelder rot&trocken 12%vol. (DE) - 1L
A02875;Mollliter Müller-Thurgau-Kerner weiß&süß 9,5%vol. (DE) - 1L
A02877;Mollliter Grauburgunder weiß&trocken 12,5%vol. (DE) - 1L
A11400;TK Crushed Eis - 5kg
A09034;Dessertdeckchen Piccolo (17x17cm) - 2000Stk.
A07061;(X) IST Cool Lolli-Mix - 200Stk.
A10870;TK B.T. Garnelen 13-15 o. Kopf o. Schale - 1kg
A10831;TK B.T. Garnelen 8-12 o. Kopf m. Schale - 1kg
A10820;TK B.T. Garnelen 16-20 m. Kopf m. Schale - 1kg
A10828;TK B.T. Garnelen 6-8 o. Kopf m. Schale - 1kg
A10860;TK Räucherlachs-Seiten in Scheiben - 1kg
A10858;TK H&C Salmo Salar Lachsfilet portioniert - 5x150g
A05612;Wulfert Salatmayonnaise 80% - 10kg
A05609;Wulfert Salatmayonnaise 50% - 10kg
A05524;Wulfert Tomatenketchup - 10kg
A05522;Wulfert Curry-Ketchup pikant - 10kg
A05385;Wulfert Schaschlik-Soße - 10kg
A05382;Wulfert Grillsoße - 10kg
A05610;Wulfert Salatmayonnaise 50% extra mit Ei - 10kg
A05611;Wulfert Salatmayonnaise 50% Gold - 10kg
A05608;Wulfert Mayonnaise 80% - 875ml
A05386;Wulfert Paprikasauce Balkanart - 10kg
A05383;Wulfert Jägersoße - 10kg
A05384;Wulfert Jägersoße - 5kg
A05704;Wulfert Remoulade 80% Kräuter - 875ml
A05523;Wulfert Gewürz-Ketchup - 10kg
A05521;Wulfert Curry-Gewürzketchup - 875ml
A05387;Wulfert Paprikasauce Balkanart - 5kg
A05410;Classika Bärliner-Sauce Kräuter-Style - 5kg
A05411;Classika Bärliner-Sauce Knobi-Style - 5kg
A05412;Classika Bärliner-Sauce Spezi-Style - 5kg
A05413;Classika Bärliner-Sauce Cocktail-Style - 5kg
A05414;Classika Bärliner-Sauce Chili-Style - 5kg
A06422;Citadel Tomatenmark italienisch 28/30 - 850ml
A06416;Cana Pizza-Tomaten gehackt&geschält - 4250ml
A06420;Citadel Pizza Soße - 4250ml
A06525;Fruchtcocktail 5-Frucht leicht gezuckert - 2650ml
A06534;Mandarin-Orangen - 2650ml
A06526;Fruchtcocktail 5-Frucht leicht gezuckert - 850ml
A06536;Pfirsich halbe Frucht leicht gezuckert - 2650ml
A06537;Pfirsiche in Scheiben leicht gezuckert - 2650ml
A06535;Mandarin-Orangen - 850ml
A06625;Cana Stangenspargel geschält - 1700ml
A06522;Birnenhälften leicht gezuckert - 850ml
A06521;Birnenhälften leicht gezuckert - 2650ml
A05901;Le Clou/Pribo Grüne Pfefferkörner - 850ml
A06419;Champignons 1. Wahl ganze Köpfe - 2650ml
A06504;Cana Spargelabschnitte geschält ohne Kopf weiß - 840g
A06691;Cana Mungobohnenkeimlinge - 3100ml
A05037;Hengstenberg Tafel-Essig 10% - 10L
A06540;Sauerkirschen ohne Stein - 4250ml
A06690;Pribo Mango-Chutney - 720ml
A06696;Tropischer Fruchtcocktail 4-Frucht - 3100ml
A06421;Citadel Tomatenmark - 4250ml
A06417;Cana Rote Kidney Bohnen - 850ml
A06538;Pfirsichhälften leicht gezuckert - 850ml
A08227;Einweg-Sektgläser 100ml - 6Stk.
A08228;Einweg-Weinglas 200ml - 6Stk.
A03034;Sierra Madre Tortilla Chips natur - 800g
A03032;Sierra Madre Tortilla Chips Chili - 800g
A03031;Sierra Madre Tortilla Chips Barbecue - 800g
A05371;Sierra Madre Salsa Guacamole Dip - 1kg
A05370;Sierra Madre Palapa Cheese Dip - 1kg
A05353;Palapa Cheddar Cheese Soße - 450ml
A03604;Palapa Weizentortillas 530g (Ø15cm) - 18Stk.
A03605;Palapa Weizentortillas 800g (Ø20cm) - 18Stk.
A03606;Palapa Weizentortillas 800g (Ø25cm) - 18Stk.
A03603;Palapa Taco Shells 135g - 12Stk.
A01137;Glas Fritz-Kola - 24x0,33L
A01139;Glas Fritz-Kola Zuckerfrei - 24x0,33L
A01141;Glas Fritz-Limo Honigmelone - 24x0,33L
A01145;Glas Fritz-Limo Zitrone - 24x0,33L
A01143;Glas Fritz-Limo Orange - 24x0,33L
A01140;Glas Fritz-Limo Apfel-Kirsch-Holunder - 24x0,33L
A01135;Glas Fritz MischMasch - 24x0,33L
A01146;Glas Fritz-Spritz Apfelschorle Bio - 24x0,33L
A09998;TK UFO Mozzarella-Cheddar Sticks (38cm) - 160Stk.
A10152;TK Zalin Falafel - 1kg
A02037;Glas Efes Pilsener Bier - 24x0,33L
A02036;Glas Efes Pilsener Bier - 20x0,5L
A08706;Tragetasche mit Döner Kebap Druck (28+14x48cm) - 10x100Stk.
A08203;Coffee to go Becher 0,2L braun - 50Stk.
A08819;Baklava Schachteln 500g - 100Stk.
A08817;Baklava Schachteln 1000g - 100Stk.
A09042;Pergamentersatz Papier (1/4) bogen - 37,5 x 50 cm - 12,5kg
A09056;Kurabiye Schachteln (500g) - 100Stk.
A09055;Kurabiye Schachteln (1000g) - 100Stk.
A09025;Hähnchenbeutel 3-lagig (1/2) alukaschiert - 100Stk.
A09024;Hähnchenbeutel 3-lagig (1/1) alukaschiert - 100Stk.
A08818;Baklava Schachteln 250g - 100Stk.
A08426;Mehrwegmesser transparent - 100Stk.
A08425;Mehrweggabel transparent - 100Stk.
A08427;Mehrweglöffel transparent - 100Stk.
A09544;Papierhandtücher 1-lagig grau - 20x200Stk.
A08224;Coffee to go Becher 0,1L braun - 50Stk.
A09559;Erfrischungstücher Citrus - 250Stk
A09021;Dönertüten unbedruckt (16x16cm) - 2800Stk.
A08402;Holzgabel gebogen - 100Stk.
A08412;Rührstäbchen aus Holz 14cm - 1000Stk.
A08215;Trinkbecher 0,2L weiß - 100Stk.
A08791;Menüteller Mehrweg (ungeteilt) - 100Stk.
A08792;Menüteller Mehrweg (2-teilig) - 100Stk.
A08793;Menüteller Mehrweg (3-teilig) - 100Stk.
A08207;Deckel für Coffee to go 0,2-0,3L - 50Stk.
A01015;Dose Hot Blood Energydrink - 24x0,25L
A01038;Dose Hot Blood Eistee Pfirsich - 24x0,33L
A01013;Dose Hot Blood Eistee Waldfrucht - 24x0,33L
A01014;Dose Hot Blood Eistee Zitrone - 24x0,33L
A02871;"(X)Metzger ""Rot"" rot&trocken 13,5%vol. (DE) - 0,75L"
A02872;Metzger Petit Noir rot&trocken 14%vol. (DE) - 0,75L
A02870;(X)Metzger PINK rose&feinherb 11,5%vol. (DE) - 0,75L
A02869;Metzger Blanc de Noir weiß&trocken 12%vol. (DE) - 0,75L
A02863;Metzger Weißburgunder weiß&trocken 12%vol. (DE) - 0,75L
A02862;Metzger Grauburgunder weiß&trocken 12%vol. (DE) - 0,75L
A02866;Metzger Sauvignon Blanc weiß&trocken 12%vol. (DE) - 0,75L
A02865;Metzger Riesling weiß&trocken 12%vol. (DE) - 0,75L
A02864;Metzger Chardonnay weiß&trocken 12,5%vol. (DE) - 0,75L
A02867;Metzger gelber Muskateller weiß&trocken 12,5%vol. (DE) - 0,75L
A02868;(X)Metzger Gewürztraminer weiß&lieblich 8,5%vol. (DE) - 0,75L
A02874;Metzger Filet Noir rot&trocken 14,5%vol. (DE) - 0,75L
A10105;TK Chik&Food Hähnchen Nuggets (halal) - 1kg
A04403;Dembra Geflügelrostbratwurst - 30x110g
A05990;Dembra Chili gemahlen - 500g
A04999;(X)Gustoil Frittieröl Premium - 10L
A05052;Zitronenwasser - 1L
A01001;Dose Ayfit Ice Tea Pfirsich - 24x0,33L
A08906;Food To Go Box Dragon (24oz) - 50Stk.
A03315;(X)Parboiled Langkornreis - 25kg
A03314;(X)Parboiled Langkornreis - 10kg
A10120;TK Mr. Falafel Taler - 1kg
A08611;Nitril Handschuhe (XL) ungepudert - 100Stk.
A09122;Pizza Karton Rollo Box braun 28x8x7cm - 100Stk.
A08820;BiniBox - 40Stk.
A08890;Salatschale braun BIO Pappe (500ml) - 50Stk.
A08891;Salatschale braun BIO Pappe (750ml) - 50Stk.
A08903;Salatschale braun BIO Pappe (1000ml) - 50Stk.
A08904;Salatschale braun BIO Pappe (1300ml) - 50Stk.
A05067;Natura Granatapfelsirup/Nar Eksisi - 1L
A10161;TK Bohnen im Speckmantel - 50x40g
A05928;Dembra Pfeffer schwarz gemahlen - 1kg
A05907;Dembra Basilikum gerebelt - 1kg
A05920;Dembra Knoblauchpulver - 1kg
A05932;Dembra Sesam milchweiß - 1kg
A05914;Dembra Dillspitzen - 1kg
A05934;Dembra Thymian gerebelt - 1kg
A05910;Dembra Chili mit Kernen geschrotet - 1kg
A05933;Dembra Sumak - 1kg
A05925;Dembra Paprika edelsüß - 1kg
A05908;Dembra Chili ganz 4-6cm - 1kg
A05909;Dembra Chili gemahlen - 1kg
A05919;Dembra Knoblauchgranulat - 1kg
A05923;Dembra Mix de Gyros - 1kg
A05929;Dembra Pfeffer weiß gemahlen - 1kg
A05927;(X)Dembra Pfeffer schwarz ganz - 1kg
A05930;Dembra Pizzagewürz - 1kg
A05913;Dembra Currypulver - 1kg
A05931;Dembra Pommes Würzsalz - 2kg
A05912;Dembra Chili ohne Kernen geschrotet - 1kg
A05918;Dembra Kimyon/Cumin gemahlen - 1kg
A05915;Dembra Frikadellen Gewürzmix - 1kg
A05921;Dembra Minze getrocknet - 1kg
A05916;Dembra Hähnchen-Würzsalz - 2kg
A05926;Dembra Petersilie - 1kg
A05917;Dembra Isot Gewürz - 1kg
A05911;Dembra Chili mit Kernen geschrotet - 3kg
A01138;Glas Fritz-Kola Super Zero - 24x0,33L
A01605;Tetra 4Bro Ice Tea Peach - 8x0,5L
A01603;Tetra 4Bro Ice Tea Lemon - 8x0,5L
A01604;Tetra 4Bro Ice Tea Mango - Maracuja - 8x0,5L
A01600;Tetra 4Bro Ice Tea Bubble Gum - 8x0,5L
A03576;Mondo Pasta Tagliatelle mit Sepiatinte - 1kg
A08705;Tragetasche Jumbo (30+20x60cm) - 10x100Stk.
A08703;Tragetasche (30+18x55cm) - 20x100Stk.
A09017;"Dönertüten ""braun"" mit Druck (16x16cm) - 4kg"
A09004;Bäckerbeutel 2-farbig (Typ426) 16+6x32cm - 1000Stk.
A09006;Bäckerbeutel 2-farbig (Typ435) 20+7x48cm - 1000Stk.
A09007;Bäckerbeutel 2-farbig (Typ635) 20+10x36cm - 1000Stk.
A09008;Bäckerbeutel ohne Druck (Typ416) 11+4,5x21cm - 1000Stk.
A09013;Bäckerbeutel ohne Druck (Typ428) 14+6x39cm - 1000Stk.
A09022;"Bäckerfaltenbeutel mit Druck ""Pizza"" (11x5x24cm) - 1000Stk."
A09002;Bäckerbeutel 2-farbig (Typ422) 12+6x28cm - 1000Stk.
A09537;Servietten 1/4 Falz weiß 33x33cm - 4kg
A09026;Hamburger-Tüten in Spenderbox - 5kg
A09023;"Gyrostüten mit Druck ""Gyros Pita"" (16x16cm) - 5kg"
A09001;Bäckerbeutel 2-farbig (Typ418) 12+4,5x25cm - 1000Stk.
A08502;Alufolie 12my (30cmx80m) - 4x900g
A08501;Alufolie 12my (30cmx120m) - 4x1300g
A01441;Pet Filiz Quellwasser Naturell - 6x1,5L
A03609;TK Tizza Lahmacun / Türkische Pizza - 10x200g
A05287;Özfood Beef Burger Sauce - 900ml
A05288;Özfood Yoopsie Sauce - 5L
A05289;Özfood Hamburger Sauce - 5L
A08715;Müllbeutel blau - 10x240L
A08832;Food To Go Box/Dönerbox (16oz) - 50Stk.
A08833;Food To Go Box/Dönerbox (26oz) - 50Stk.
A09547;Papierhandtücher 2-lagig weiß - 3000Stk.
A09549;Toilettenpapier 3-lagig - 8x250 Blatt
A09546;Küchenrolle 3-lagig weiß (50Blatt) - 4x1 Rolle
A08702;Papiertragetasche braun, mittel (28+17x28cm) - 250Stk.
A08701;Papiertragetasche klein (22+10x28cm) - 250Stk.
A08700;Papiertragetasche groß (32+16x27cm) - 250Stk.
A01194;Glas Lifeup Apfelschorle - 24x0,33L
A09999;TK UFO-Brot/Fladenbrot Maxi - 40x160g
A02497;Van Dolft Eierlikör 14%vol. - 0,7L
A06112;Feinzucker Sticks - 1000x3,6g
A06107;Feinzucker Briefchen - 1000x3,6g
A03103;Konfitüre sortiert 4-fach - 100x25g
A06111;Würfelzucker - 2000x4,4g
A03422;Semmelbrösel - 5kg
A03434;EFS Paniermehl - 1kg
A04504;Huber Schmand aus Sauerrahm 24% - 1L
A05302;Lee Kum Kee Sojasoße dunkel - 500ml
A06102;Safrisalz Jodsalz - 500g
A02267;Echter Nordhäuser Korn 32%vol. - 0,7L
A02905;Rotkäppchen Sekt Chardonnay Extra trocken 12%vol. - 0,75L
A02906;Rotkäppchen Sekt Riesling trocken 12,5%vol. - 0,75L
A02604;Rotkäppchen Sekt Trocken - 0,75L
A02603;Rotkäppchen Sekt Halbtrocken - 0,75L
A02907;Rotkäppchen Sekt Mild lieblich 11%vol. - 0,75L
A02908;Rotkäppchen Sekt Rubin halbtrocken 11%vol. - 0,75L
A10903;TK Zanderfilet (170-230g) - 1kg
A05922;Dembra Mix de Chicken Curry - 1kg
A02934;Don Papa MassKara Rum 40%vol. - 0,7L
A10698;TK ULAS Hähnchenbrustfilet natur IQF Halal (Ukraine) - 2,5kg
A09000;Bäckerbeutel 2-farbig (Typ416) 11+4,5x21cm - 1000Stk.
A01009;Dose Fanta Lemon&Elderflower - 24x0,33L
A01008;Dose Fanta Exotic - 24x0,33L
A01010;Dose Fanta Mango&Dragonfruit - 24x0,33L
A01012;Dose Fanta Strawberry&Kiwi - 24x0,33L
A01448;Pet Powerade Wild Cherry rot - 12x0,5L
A01446;Pet Powerade Mountain Blast blau - 12x0,5L
A01003;Dose Coca-Cola - 24x0,33L
A01007;Dose Coca-Cola Zero - 24x0,33L
A01004;Dose Coca-Cola Cherry - 24x0,33L
A01016;Dose Mezzo Mix - 24x0,33L
A01011;Dose Fanta Orange - 24x0,33L
A01033;Dose Sprite - 24x0,33L
A01483;Pet Fuze Tea Schwarzer Tee Pfirsich Hibiskus - 6x1,25L
A01436;Pet Fuze Tea Zitrone - 12x0,4L
A01046;Dose Fuze Tea Pfirsich - 24x0,33L
A01047;Dose Fuze Tea Zitrone - 24x0,33L
A05630;Heinz Box Salat Mayonnaise 50% portioniert -100x17ml
A05631;Heinz Box Tomaten Ketchup portioniert -100x17ml
A07032;Mars Riegel - 32x51g
A07031;Twix Riegel - 32x50g
A07030;Snickers Riegel - 32x50g
A02485;Johnnie Walker Red Label 40%vol. - 0,7L
A02321;Johnnie Walker Black Label 40%vol. - 0,7L
A02249;Cardhu Single Malt 12 Jahre 40%vol. - 0,7L
A02418;Tanqueray London Dry Gin 43,1%vol. - 0,7L
A02470;Captain Morgan Black 40%vol. - 0,7L
A02258;Dimple Golden Selection Blended Scotch Whisky 40%vol. - 0,7L
A02247;Captain Morgan White Rum 37,5%vol. - 0,7L
A02480;Gordon's London Dry Gin 37,5%vol. - 0,7L
A02922;Gordon's Premium Pink Gin 37,5%vol. - 0,7L
A02923;Gordon's Premium Sicilian Lemon Gin 37,5%vol. - 0,7L
A02924;Tanqueray Flor de Sevilla Gin 41,3%vol. - 0,7L
A02925;Tanqueray Black Currant Royale Gin 41,3%vol. - 0,7L
A02926;Tanqueray Rangpur Lime Gin 41,3%vol. - 0,7L
A02476;Four Roses Bourbon 40%vol. - 0,7L
A02246;Captain Morgan Spiced Gold 35%vol. - 0,7L
A02254;Chivas Regal 18 Years 40%vol. - 0,7L
A02927;Malfy Gin Original 41%vol. - 0,7L
